Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
266,-17.0,29,17.556058883666992,7.072196960449219,0.45104196709670413,0,1,Collision,8
267,-20.0,19,14.39880657196045,9.522100448608398,0.449688841195414,0,1,Collision,8
268,-14.0,5,30.85930633544922,14.857492446899414,0.4483397746718278,0,1,Collision,8
269,-13.0,19,9.377741813659668,15.918509483337402,0.4469947553478123,0,1,Collision,8
270,-14.0,17,8.51936149597168,14.725214004516602,0.44565377108176885,0,1,Collision,8
271,-20.0,15,9.333229064941406,9.124263763427734,0.44431680976852356,0,1,Collision,8
272,59.0,32,40.73967361450195,17.019073486328125,0.44298385933921797,1,0,Success,8
273,-12.0,17,21.38642692565918,5.952846527099609,0.4416549077612003,0,1,Collision,8
274,-9.0,96,3.5906076431274414,15.681437492370605,0.4403299430379167,0,1,Collision,8
275,2.0,44,26.02415657043457,15.422576904296875,0.43900895320880295,0,1,Collision,8
276,70.0,35,28.08667755126953,18.017242431640625,0.43769192634917653,1,0,Success,8
277,-22.0,12,7.130249500274658,16.878116607666016,0.436378850570129,0,1,Collision,8
278,-16.0,9,35.40656661987305,15.476322174072266,0.4350697140184186,0,1,Collision,8
279,-12.0,12,2.8027825355529785,16.325450897216797,0.43376450487636337,0,1,Collision,8
280,-7.0,18,14.54730224609375,17.103282928466797,0.43246321136173427,0,1,Collision,8
281,-13.0,17,10.317724227905273,4.887481689453125,0.43116582172764906,0,1,Collision,8
282,-13.0,11,22.418718338012695,16.569074630737305,0.42987232426246613,0,1,Collision,8
283,-14.0,13,10.06244945526123,16.21268081665039,0.42858270728967873,0,1,Collision,8
284,-2.0,33,46.23379898071289,12.39127254486084,0.4272969591678097,0,1,Collision,8
285,54.0,52,17.786212921142578,17.85523223876953,0.4260150682903063,1,0,Success,8
286,-13.0,19,14.479354858398438,16.903852462768555,0.4247370230854354,0,1,Collision,8
287,-15.0,25,12.610734939575195,3.411620616912842,0.4234628120161791,0,1,Collision,8
288,-9.0,16,7.175642967224121,16.38381576538086,0.42219242358013054,0,1,Collision,8
289,-11.0,13,11.875591278076172,14.43384075164795,0.4209258463093902,0,1,Collision,8
290,-15.0,15,35.25166320800781,3.717042922973633,0.419663068770462,0,1,Collision,8
291,-10.0,15,27.911117553710938,10.804373741149902,0.4184040795641506,0,1,Collision,8
292,-11.0,27,26.441186904907227,11.764404296875,0.41714886732545814,0,1,Collision,8
293,-9.0,58,4.92142391204834,4.43005895614624,0.41589742072348174,0,1,Collision,8
294,-7.0,20,17.996360778808594,17.631641387939453,0.4146497284613113,0,1,Collision,8
295,-13.0,13,17.81560516357422,14.310526847839355,0.41340577927592737,0,1,Collision,8
296,-11.0,12,3.849006414413452,6.448192596435547,0.41216556193809956,0,1,Collision,8
297,81.0,63,28.76065444946289,18.9515380859375,0.41092906525228523,1,0,Success,8
298,-15.0,59,4.76439094543457,1.8629754781723022,0.40969627805652836,0,1,Collision,8
299,-7.0,57,37.00065612792969,11.805028915405273,0.40846718922235875,0,1,Collision,8
300,-15.0,11,6.723736763000488,17.602705001831055,0.40724178765469166,0,1,Collision,8
301,-23.0,29,18.870426177978516,6.795351982116699,0.4060200622917276,0,1,Collision,8
302,-13.0,12,2.5238819122314453,17.675247192382812,0.4048020021048524,0,1,Collision,8
303,-17.0,20,23.335702896118164,17.449190139770508,0.40358759609853784,0,1,Collision,8
304,66.0,39,18.95029640197754,16.013290405273438,0.4023768333102422,1,0,Success,8
305,-20.0,27,12.423609733581543,5.559010982513428,0.4011697028103115,0,1,Collision,8
306,-16.0,19,10.260770797729492,18.530975341796875,0.3999661937018806,0,1,Collision,8
307,-18.0,5,14.616633415222168,18.530975341796875,0.39876629512077494,0,1,Collision,8
308,74.0,40,6.740253448486328,20.373016357421875,0.3975699962354126,1,0,Success,8
309,-13.0,15,5.481316566467285,2.9236912727355957,0.3963772862467064,0,1,Collision,8
